number of practice,ground_truth,kid_input,result,number ask for help
1.0,['a'],|['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', '9', '9', 'a']|,1,100
2.0,['1'],|['1', '1']|,1,100
3.0,['9'],|['9', '9', '9', '9', '9', '9', '9']|,1,100
4.0,['b'],|['b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']|,1,100
5.0,['3'],|['3', '3', '3', '9', '3']|,1,100
6.0,['1'],|['1', '1', '1', '1', '1', '1', '1', '1', '1']|,1,100
7.0,['4'],|['4', '5', '5', '4', '4', '4', '5', '5', '4']|,1,100
8.0,['8'],|['9', '8', '8', '8', '8', '8', '8', '8', '8', '8']|,1,100
9.0,['8'],|['8', '8', '8', '8', '8', '7', '9', '9', '9', '8', '7']|,1,100
10.0,['3'],|['2', '2', '3', '4', '3', '2', '3', '3', '2']|,1,100
