number of practice,ground_truth,kid_input,result,number ask for help
1.0,['7'],|['7', '7', '7', '7', '7', '7', '7', '7']|,1,100
2.0,['7'],|['7', '7', '7', '7', '8']|,1,100
3.0,['6'],|['6', '6', '6', '6', '3', '6', '6']|,1,100
4.0,['6'],['2'],1,100
5.0,['4'],|['5', '5', '5', '5', '5', '6', '4']|,1,100
6.0,['a'],|['b', 'b']|,1,100
7.0,['5'],|['1', '2', '2', '2', '4', '5', '5', '6', '5']|,1,100
8.0,['1'],|['5', '5', '5', '5', '5', '5', '1']|,1,100
9.0,['b'],|['2', '9', '9', '7', '2', '2', '2', '2', '7', '3', '5']|,1,100
10.0,['7'],|['4', 'b', '2']|,1,100
