number of practice,ground_truth,kid_input,result,number ask for help
1.0,['2'],|['1', '1', '2']|,1,100
2.0,['6'],|['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']|,1,100
3.0,['7'],['7'],1,100
4.0,['b'],['b'],1,100
5.0,['1'],|['8', '8', '9', '8', '8']|,1,100
6.0,['2'],|['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2']|,1,100
7.0,['3'],['3'],1,100
8.0,['3'],|['3', '3', '3', '3', '3', '3', '3', '3', '3']|,1,100
9.0,['8'],|['9', '9', '9', '9', '8', '8', '8']|,1,100
10.0,['1'],|['1', '1', '1', '1', '1', '1']|,1,100
